id,title,media,description,numerical,external_link,list
1,Deep Learning with Python,https://images.manning.com/360/480/resize/book/7/65fca1c-6826-472d-bbea-c1d4a7b3c570/Chollet-DLP-HI.png,"Machine Learning with TensorFlow gives readers a solid foundation in machine-learning concepts plus hands-on experience coding TensorFlow with Python. You'll learn the basics by working with classic prediction, classification, and clustering algorithms. Then, you'll move on to the money chapters: exploration of deep-learning concepts like autoencoders, recurrent neural networks, and reinforcement learning. Digest this book and you will be ready to use TensorFlow for machine-learning and deep-learning applications of your own.",5,https://www.manning.com/books/deep-learning-with-python,['Got me an A.']
2,Machine Learning with TensorFlow,https://images.manning.com/360/480/resize/book/d/848f767-1c05-470a-83f4-9ddabb67fdbd/Shukla-MLTF-HI.png,"Deep Learning with Python introduces the field of deep learning using the Python language and the powerful Keras library. Written by Keras creator and Google AI researcher François Chollet, this book builds your understanding through intuitive explanations and practical examples. You'll explore challenging concepts and practice with applications in computer vision, natural-language processing, and generative models. By the time you finish, you'll have the knowledge and hands-on skills to apply deep learning in your own projects.",4,https://www.manning.com/books/machine-learning-with-tensorflow,"['Got me an B. The TensorFlow version used in this book is convoluted and weird. I am hoping to see a second edition of this book based on the newest, better version of TF.']"
3,Classic Computer Science Problems in Python,https://images.manning.com/360/480/resize/book/9/d4b47c9-453f-4ab7-a20f-cfd0836aa74e/Kopec-CCSPP-HI.png,"Classic Computer Science Problems in Python deepens your knowledge of problem solving techniques from the realm of computer science by challenging you with time-tested scenarios, exercises, and algorithms. As you work through examples in search, clustering, graphs, and more, you'll remember important things you've forgotten and discover classic solutions to your new problems!",3,https://www.manning.com/books/classic-computer-science-problems-in-python,['Good book but it is intended for programmers who want to become proficient in Python. It is not very relevant for AI or apps written with other languages and frameworks.']
4,Learn Git in a Month of Lunches,https://images.manning.com/360/480/resize/book/4/392baa6-650a-4b06-b15f-15b302761a46/Umali_front.png,"Git is the source code control system preferred by modern development teams. Its decentralized architecture and lightning-fast branching let you concentrate on your code instead of tedious version control tasks. At first, Git may seem like a sprawling beast. Fortunately, to get started you just need to master a few essential techniques. Read on! Learn Git in a Month of Lunches introduces the discipline of source code control using Git. Helpful for both newbies who have never used source control and busy pros, this book concentrates on the components of Git you?ll use every day. In easy-to-follow lessons that take an hour or less, you?ll dig into Git?s distributed collaboration model, along with core concepts like committing, branching, and merging. This book is a road map to the commands and processes you need to be instantly productive.",4,https://www.manning.com/books/learn-git-in-a-month-of-lunches,"['Learning Git version control is fundamental in software development and this book does a fine job on teaching it. The only problem I see is that Git keeps changing and this book needs a newer version that reflects those changes. However, the core ideas and principles remain the same and this book will help a lot with that.']"
5,Math for Programmers,https://images.manning.com/360/480/resize/book/d/8d0e43b-72aa-4bd1-97d2-d1916be6f148/Orland-MP-MEAP-HI.png,"To score a job in data science, machine learning, computer graphics, and cryptography, you need to bring strong math skills to the party. Math for Programmers teaches the math you need for these hot careers, concentrating on what you need to know as a developer. Filled with lots of helpful graphics and more than 200 exercises and mini-projects, this book unlocks the door to interesting–and lucrative!–careers in some of today’s hottest programming fields.",5,https://www.manning.com/books/math-for-programmers,['A must for those who will use Deep Learning and Machine Learning extensively. No need to be a Math wiz for this one.']
6,Deep Learning for Vision Systems,https://images.manning.com/360/480/resize/book/d/8b0b829-a5a8-4c76-b898-646b2c7f644a/Elgendy-DLVS-MEAP-HI.png,"Computer vision is central to many leading-edge innovations, including self-driving cars, drones, augmented reality, facial recognition, and much, much more. Amazing new computer vision applications are developed every day, thanks to rapid advances in AI and deep learning (DL). Deep Learning for Vision Systems teaches you the concepts and tools for building intelligent, scalable computer vision systems that can identify and react to objects in images, videos, and real life. With author Mohamed Elgendy’s expert instruction and illustration of real-world projects, you’ll finally grok state-of-the-art deep learning techniques, so you can build, contribute to, and lead in the exciting realm of computer vision!",4,https://www.manning.com/books/deep-learning-for-vision-systems,"['This book not only teaches you how to use the tools available, but it also teaches the workings of deep neural networks without going into the academic, highly theoretical bits. Great choice if what you want to do is image recognition tasks.']"
7,Deep Learning with PyTorch,https://images.manning.com/360/480/resize/book/3/eb932b2-5c44-4518-97c7-7906b4fc7220/Stevens-DLPy-MEAP-HI.png,"Every other day we hear about new ways to put deep learning to good use: improved medical imaging, accurate credit card fraud detection, long range weather forecasting, and more. PyTorch puts these superpowers in your hands, providing a comfortable Python experience that gets you started quickly and then grows with you as you—and your deep learning skills—become more sophisticated. Deep Learning with PyTorch will make that journey engaging and fun.",3,https://www.manning.com/books/deep-learning-with-pytorch,"[""No idea, haven't needed to open it so far.""]"
8,JavaScript Application Design,https://images.manning.com/360/480/resize/book/a/beaaf39-fd25-440c-870a-4e543a8fdf62/bevacqua.png,"The fate of most applications is often sealed before a single line of code has been written. How is that possible? Simply, bad design assures bad results. Good design and effective processes are the foundation on which maintainable applications are built, scaled, and improved. For JavaScript developers, this means discovering the tooling, modern libraries, and architectural patterns that enable those improvements. JavaScript Application Design: A Build First Approach introduces techniques to improve software quality and development workflow. You'll begin by learning how to establish processes designed to optimize the quality of your work. You'll execute tasks whenever your code changes, run tests on every commit, and deploy in an automated fashion. Then you'll focus on designing modular components and composing them together to build robust applications.",3,https://www.manning.com/books/javascript-application-design,['Python is not the only AI powerhouse anymore. Javascript has become a great alternative as well. This title is a one-stop shop introducing JavaScript developers to modern practices and tools.']
9,Hello Swift!,https://images.manning.com/360/480/resize/book/8/3cacf31-e361-47aa-b807-11608e338fb1/Bakshi_HS_hires.png,"Hello Swift! is a how-to guide to programming iOS Apps with the Swift language, written from a kid's perspective. This approachable, well-illustrated, step-by-step guide takes you from beginning programming concepts all the way through developing complete apps. (Adults will like it too!)",3,https://www.manning.com/books/hello-swift,"['Very basic for an experienced developer. If you are new to programming however, you might like it.']"
10,iOS Development with Swift,https://images.manning.com/360/480/resize/book/0/72f6b4c-2a79-4805-b57e-b0d82c669ee9/Grummitt-iOS-HI.png,"iOS Development with Swift is a hands-on guide to creating apps for iPhone and iPad using the Swift language. Inside, you'll be guided through every step of the process for building an app, from first idea to App Store. This book fully covers Swift 4, Xcode 9, and iOS 11. This book is perfect alongside Craig's iOS Development with Swift in Motion video course, each offering unique exercises, examples, and more to get you learning!",4,https://www.manning.com/books/ios-development-with-swift,['Enjoyed reading and learning from it.']
